ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Медведева Мария Ивановна,Ж,2023,очная,,53.5,,,61.9,,77.2,88.1,72.2,Физика,"Нижний Новгород, ул. Победы, д. 11, кв. 105",+375011987561,True
Соколов Андрей Иванович,М,2023,очная,75.6,51.5,,,,,80.9,74.8,69.7,Медицинская биохимия,"Новосибирск, ул. Пролетарская, д. 135, кв. 4",+375365774491,True
Соколова Елена Сергеевна,Ж,2023,очная,,65.5,64.2,,81.6,,,83.1,76.4,Прикладная математика,"Самара, ул. Центральная, д. 28, кв. 139",+375433687509,True
Кузнецов Никита Алексеевич,М,2023,заочная,,70.2,,,66.1,,62.8,81.3,70.9,Химия,"Воронеж, ул. Советская, д. 24, кв. 66",+375042886050,True
Павлова Александра Денисовна,Ж,2023,заочная,40.0,,,58.0,,,69.9,71.1,62.4,Медицинская биохимия,"Москва, ул. Ленина, д. 50, кв. 15",+375835669106,False
Петров Михаил Никитич,М,2023,заочная,71.5,60.5,,,,,81.0,87.4,78.0,Информатика и вычислительная техника,"Пермь, ул. Строителей, д. 47, кв. 112",+375917768293,True
Кузьмина Ирина Ивановна,Ж,2023,очная,63.3,,68.3,,67.1,,,75.3,68.6,История,"Краснодар, ул. Строителей, д. 189, кв. 136",+375260335910,True
Лебедев Егор Иванович,М,2023,очная,71.9,,58.2,,49.3,,,81.7,66.6,Химия,"Новосибирск, ул. Ленина, д. 183, кв. 116",+375492699969,True
Кузьмина Елена Денисовна,Ж,2023,очная,,71.6,55.6,,72.8,,,74.2,67.9,Биология,"Самара, ул. Советская, д. 76, кв. 6",+375849932312,False
Кузьмина Ольга Алексеевна,Ж,2023,очно-заочная,,,,68.1,77.6,,63.7,80.7,75.6,Информатика и вычислительная техника,"Краснодар, ул. Мира, д. 102, кв. 164",+375176072348,True
Медведева Ольга Сергеевна,Ж,2023,очная,,,61.3,,67.0,63.1,,73.5,68.5,Информатика и вычислительная техника,"Казань, ул. Ленина, д. 89, кв. 105",+375129965082,True
Козлов Егор Алексеевич,М,2023,очная,62.1,,48.3,,59.2,,,76.3,65.1,Прикладная математика,"Екатеринбург, ул. Ленина, д. 144, кв. 124",+375612385951,False
Смирнов Сергей Владимирович,М,2023,очная,,65.9,60.3,,68.4,,,80.9,71.8,Информатика и вычислительная техника,"Новосибирск, ул. Зелёная, д. 193, кв. 58",+375008696610,True
Козлов Никита Сергеевич,М,2023,очная,,72.1,,,63.2,56.5,,71.7,68.4,Информатика и вычислительная техника,"Воронеж, ул. Строителей, д. 15, кв. 157",+375414915076,True
Павлова Светлана Денисовна,Ж,2023,очная,62.4,58.7,,,,55.1,,70.2,64.3,Информатика и вычислительная техника,"Краснодар, ул. Зелёная, д. 154, кв. 73",+375620726629,True
Козлов Александр Петрович,М,2023,очно-заочная,,,,64.7,,71.0,75.8,74.7,73.0,Прикладная математика,"Казань, ул. Ленина, д. 102, кв. 135",+375841333731,True
Соловьёва Александра Алексеевна,Ж,2023,очная,61.3,,,51.5,,,59.8,72.9,63.6,Физика,"Санкт-Петербург, ул. Пролетарская, д. 42, кв. 1",+375613638527,False
Попов Роман Владимирович,М,2023,очная,74.6,47.6,,59.5,,,,79.8,68.2,Информатика и вычислительная техника,"Новосибирск, ул. Пролетарская, д. 83, кв. 13",+375264801644,True
Фёдорова Ольга Сергеевна,Ж,2023,очно-заочная,66.5,,,88.0,,,64.9,72.0,73.7,Экономика,"Краснодар, ул. Строителей, д. 44, кв. 48",+375102179821,True
Медведева Ирина Владимировна,Ж,2023,очная,,,66.9,49.1,63.6,,,73.0,65.9,Медицинская биохимия,"Екатеринбург, ул. Строителей, д. 63, кв. 30",+375828560539,False
Фёдорова Анна Владимировна,Ж,2023,очная,76.2,,,58.5,,68.2,,74.2,71.5,Биология,"Пермь, ул. Мира, д. 4, кв. 94",+375068212235,True
Петров Максим Владимирович,М,2023,очно-заочная,85.2,,62.2,,,82.8,,82.9,79.6,Прикладная математика,"Воронеж, ул. Пролетарская, д. 39, кв. 188",+375182192596,True
Соколова Виктория Михайловна,Ж,2023,очная,,,,,67.7,69.2,64.1,66.4,65.3,Физика,"Москва, ул. Школьная, д. 9, кв. 155",+375386948424,False
Баранова Александра Петровна,Ж,2023,очная,,,63.5,73.5,,,69.1,69.6,69.8,Информатика и вычислительная техника,"Краснодар, ул. Советская, д. 92, кв. 46",+375386767382,True
Лебедев Роман Михайлович,М,2023,очная,66.7,,,,83.7,,77.1,77.6,76.0,Экономика,"Новосибирск, ул. Пролетарская, д. 148, кв. 112",+375872258937,True
Медведева Анна Никитична,Ж,2023,очно-заочная,76.3,64.3,,46.6,,,,72.5,67.5,Химия,"Нижний Новгород, ул. Новая, д. 98, кв. 187",+375957900124,True
Соловьёва Екатерина Никитична,Ж,2023,очная,,80.2,,61.2,59.0,,,76.2,68.8,Химия,"Екатеринбург, ул. Мира, д. 175, кв. 137",+375946338915,True
Петров Илья Никитич,М,2023,очная,,,80.8,85.7,,,86.1,77.0,81.3,Физика,"Самара, ул. Победы, д. 178, кв. 57",+375589513818,True
Соловьёва Александра Ивановна,Ж,2023,заочная,,,72.5,54.3,80.4,,,71.0,70.2,Информатика и вычислительная техника,"Краснодар, ул. Центральная, д. 67, кв. 58",+375034918911,True
Фёдорова Виктория Алексеевна,Ж,2023,очная,,,68.0,,51.7,54.5,,73.0,62.1,История,"Казань, ул. Советская, д. 84, кв. 76",+375715531325,False
Егорова Ольга Денисовна,Ж,2023,очно-заочная,61.9,59.1,,,57.7,,,83.0,69.6,Информатика и вычислительная техника,"Казань, ул. Мира, д. 179, кв. 165",+375141052769,True
Баранова Мария Денисовна,Ж,2023,очная,,56.5,,,62.3,75.8,,74.9,69.8,Биология,"Пермь, ул. Строителей, д. 197, кв. 90",+375622586605,True
Медведева Виктория Владимировна,Ж,2023,очно-заочная,,,,55.6,66.3,,73.2,79.2,70.0,История,"Казань, ул. Строителей, д. 162, кв. 87",+375965594282,True
Петров Роман Петрович,М,2023,заочная,56.0,,73.3,57.8,,,,82.1,67.9,Информатика и вычислительная техника,"Казань, ул. Школьная, д. 164, кв. 59",+375931321551,True
Попов Егор Денисович,М,2023,очная,,69.6,,58.7,,52.6,,72.7,63.8,Химия,"Пермь, ул. Строителей, д. 158, кв. 99",+375699727367,False
Кузьмина Наталья Владимировна,Ж,2023,очная,73.8,82.1,60.7,,,,,80.8,74.4,История,"Санкт-Петербург, ул. Строителей, д. 56, кв. 45",+375812312392,True
Кузьмина Анна Петровна,Ж,2023,очная,44.3,,,,,58.3,64.6,72.5,62.5,Биология,"Краснодар, ул. Школьная, д. 7, кв. 137",+375276817225,False
Смирнов Егор Никитич,М,2023,очная,,54.4,61.9,72.3,,,,76.9,66.3,История,"Санкт-Петербург, ул. Строителей, д. 199, кв. 172",+375768316082,False
Фёдорова Мария Алексеевна,Ж,2024,очная,,42.5,,,,46.5,56.6,81.0,61.7,Физика,"Москва, ул. Школьная, д. 47, кв. 45",+375299936216,False
Морозова Виктория Михайловна,Ж,2024,очная,,42.0,,,58.8,58.9,,86.6,66.1,Биология,"Пермь, ул. Победы, д. 82, кв. 143",+375446177732,False
Павлова Ирина Ивановна,Ж,2024,очная,,,64.8,,72.1,,68.0,65.5,66.0,Прикладная математика,"Краснодар, ул. Пролетарская, д. 150, кв. 113",+375029271205,False
Лебедев Роман Денисович,М,2024,очно-заочная,,69.6,72.2,75.0,,,,100.0,80.5,Биология,"Москва, ул. Советская, д. 35, кв. 94",+375608320048,True
Козлов Михаил Денисович,М,2024,очная,,46.3,81.3,,,60.0,,80.0,70.3,Медицинская биохимия,"Москва, ул. Победы, д. 5, кв. 72",+375436199517,True
Кузнецов Максим Петрович,М,2024,очная,,61.7,,,65.5,64.2,,80.3,70.2,История,"Санкт-Петербург, ул. Центральная, д. 51, кв. 123",+375483093096,True
Павлова Мария Денисовна,Ж,2024,очная,45.8,69.5,,57.9,,,,71.5,61.2,Биология,"Краснодар, ул. Новая, д. 120, кв. 193",+375201911166,False
Иванов Максим Петрович,М,2024,очная,63.2,79.7,,64.4,,,,80.5,74.8,Экономика,"Екатеринбург, ул. Пролетарская, д. 192, кв. 187",+375304936653,True
Фёдорова Екатерина Михайловна,Ж,2024,очно-заочная,55.0,69.0,67.6,,,,,89.4,73.3,Медицинская биохимия,"Новосибирск, ул. Школьная, д. 3, кв. 148",+375522946209,True
Попов Егор Владимирович,М,2024,заочная,66.8,,,,,69.3,68.2,86.1,72.9,История,"Самара, ул. Зелёная, д. 5, кв. 199",+375137124365,True
Соловьёва Светлана Владимировна,Ж,2024,очная,55.9,68.7,,,,,66.0,77.9,66.7,Физика,"Краснодар, ул. Ленина, д. 109, кв. 32",+375592738740,False
Иванов Роман Денисович,М,2024,очно-заочная,70.0,,,63.2,,61.6,,79.6,71.5,Физика,"Пермь, ул. Советская, д. 88, кв. 82",+375420340301,True
Соколов Егор Денисович,М,2024,очная,,,,80.0,,79.3,72.3,75.6,76.1,Прикладная математика,"Самара, ул. Школьная, д. 96, кв. 73",+375623471247,True
Иванов Дмитрий Иванович,М,2024,очно-заочная,52.0,,,,70.3,,78.4,87.1,74.2,Медицинская биохимия,"Санкт-Петербург, ул. Зелёная, д. 103, кв. 71",+375172680808,True
Лебедев Егор Петрович,М,2024,очная,64.2,,,,,65.2,48.7,75.9,65.2,Биология,"Воронеж, ул. Зелёная, д. 27, кв. 64",+375073510458,False
Кузьмина Наталья Сергеевна,Ж,2024,заочная,70.7,61.5,,,,,68.7,77.2,70.3,История,"Воронеж, ул. Пролетарская, д. 65, кв. 128",+375031805339,True
Смирнов Михаил Владимирович,М,2024,заочная,67.3,49.7,,63.8,,,,60.4,61.1,Физика,"Краснодар, ул. Ленина, д. 9, кв. 15",+375466614590,False
Соколова Мария Денисовна,Ж,2024,очная,67.8,,,44.6,,80.1,,83.0,71.1,Химия,"Пермь, ул. Строителей, д. 18, кв. 184",+375949053152,True
Новиков Роман Иванович,М,2024,заочная,,,73.4,,85.0,55.0,,88.8,77.9,Экономика,"Санкт-Петербург, ул. Победы, д. 119, кв. 152",+375716698416,True
Васильева Мария Сергеевна,Ж,2024,очная,75.5,,,60.6,,80.2,,71.7,71.7,История,"Екатеринбург, ул. Строителей, д. 172, кв. 152",+375949919701,True
Васильева Ирина Владимировна,Ж,2024,заочная,54.4,54.9,,,,59.8,,72.0,60.3,Физика,"Воронеж, ул. Ленина, д. 41, кв. 170",+375041813599,False
Новиков Андрей Денисович,М,2024,заочная,82.4,,,65.2,,,69.4,74.9,74.9,Химия,"Пермь, ул. Ленина, д. 19, кв. 140",+375644822175,True
Баранова Ольга Денисовна,Ж,2024,заочная,47.7,,63.8,41.6,,,,77.9,60.1,Информатика и вычислительная техника,"Нижний Новгород, ул. Зелёная, д. 171, кв. 24",+375236914961,True
Васильева Мария Денисовна,Ж,2024,очно-заочная,,52.8,84.6,,78.7,,,78.9,74.3,Физика,"Воронеж, ул. Пролетарская, д. 172, кв. 123",+375040953141,True
Морозова Елена Никитична,Ж,2024,очная,,74.9,,54.9,74.9,,,79.5,71.5,Биология,"Воронеж, ул. Школьная, д. 28, кв. 200",+375796240964,True
Егорова Елена Сергеевна,Ж,2024,очно-заочная,65.8,,,78.3,69.3,,,80.0,72.3,Экономика,"Пермь, ул. Школьная, д. 27, кв. 99",+375225936488,True
Новиков Андрей Сергеевич,М,2024,очная,,,,46.2,51.3,63.6,,78.9,62.1,Химия,"Новосибирск, ул. Строителей, д. 114, кв. 155",+375916091141,False
Новиков Дмитрий Сергеевич,М,2024,очная,,59.2,,,93.3,,82.8,81.9,78.6,Прикладная математика,"Краснодар, ул. Новая, д. 1, кв. 88",+375230458816,True
Сидоров Александр Никитич,М,2024,заочная,,,62.7,59.6,,,52.0,78.8,65.9,История,"Екатеринбург, ул. Центральная, д. 71, кв. 8",+375966177182,True
Медведева Виктория Ивановна,Ж,2024,очная,67.7,,,53.6,,64.8,,77.4,67.2,Прикладная математика,"Воронеж, ул. Строителей, д. 27, кв. 58",+375592664869,False
Павлова Виктория Владимировна,Ж,2024,очно-заочная,,,50.7,55.7,59.5,,,89.6,66.6,Прикладная математика,"Самара, ул. Центральная, д. 81, кв. 169",+375011929207,False
Егорова Ольга Ивановна,Ж,2024,очная,70.3,,,54.4,,,67.6,69.0,64.6,Медицинская биохимия,"Нижний Новгород, ул. Победы, д. 106, кв. 182",+375218945590,False
Иванов Александр Иванович,М,2024,очная,,,79.4,,58.8,69.3,,86.3,73.9,Химия,"Казань, ул. Новая, д. 97, кв. 175",+375489667605,True
Васильева Ирина Ивановна,Ж,2024,заочная,,,56.3,51.4,,,59.1,84.5,66.0,Информатика и вычислительная техника,"Казань, ул. Школьная, д. 57, кв. 50",+375890623546,True
Васильева Екатерина Владимировна,Ж,2024,очная,49.3,,40.0,,,62.1,,81.6,63.1,Биология,"Москва, ул. Новая, д. 42, кв. 48",+375122427677,False
Попов Максим Петрович,М,2024,очная,75.3,65.7,,,,,57.3,85.2,72.9,Химия,"Пермь, ул. Новая, д. 16, кв. 2",+375801798677,True
Павлова Екатерина Петровна,Ж,2024,очная,,,51.1,65.6,71.7,,,81.0,69.0,Химия,"Воронеж, ул. Центральная, д. 43, кв. 164",+375612120384,False
Попов Михаил Сергеевич,М,2024,очная,,,,64.1,66.2,40.2,,74.4,64.9,История,"Новосибирск, ул. Школьная, д. 68, кв. 132",+375242183854,False
Иванов Илья Иванович,М,2024,очно-заочная,,,71.6,53.5,,65.8,,81.0,71.2,Физика,"Санкт-Петербург, ул. Советская, д. 36, кв. 50",+375274897917,True
Кузнецов Никита Сергеевич,М,2024,очно-заочная,,62.0,,,,62.5,59.5,77.1,67.6,Медицинская биохимия,"Санкт-Петербург, ул. Зелёная, д. 91, кв. 183",+375080196304,True
Иванов Сергей Владимирович,М,2024,очная,,73.8,67.1,,,,56.1,79.6,69.9,Биология,"Екатеринбург, ул. Центральная, д. 4, кв. 10",+375181677848,True
Соловьёва Елена Алексеевна,Ж,2024,очная,,,70.3,,,44.3,80.3,76.3,70.2,Биология,"Нижний Новгород, ул. Советская, д. 122, кв. 155",+375937810539,True
Лебедев Андрей Михайлович,М,2024,заочная,,,,70.4,76.7,52.6,,74.0,70.7,Физика,"Самара, ул. Ленина, д. 79, кв. 81",+375792714724,True
Петров Александр Владимирович,М,2024,очно-заочная,,66.7,61.0,,,,84.3,73.2,70.2,Экономика,"Екатеринбург, ул. Победы, д. 146, кв. 27",+375218706293,True
Медведева Светлана Ивановна,Ж,2024,очно-заочная,,56.4,,,63.0,49.6,,75.9,62.1,Физика,"Москва, ул. Ленина, д. 17, кв. 178",+375867661008,False
Медведева Виктория Денисовна,Ж,2024,очно-заочная,64.5,,,,60.1,,63.3,75.1,66.2,Прикладная математика,"Екатеринбург, ул. Строителей, д. 75, кв. 82",+375319807468,False
Соловьёва Ольга Михайловна,Ж,2024,очная,45.7,,65.7,,85.8,,,78.4,70.0,Информатика и вычислительная техника,"Воронеж, ул. Мира, д. 1, кв. 95",+375459671500,True
Соколов Никита Михайлович,М,2024,очная,71.9,,,70.4,,48.7,,88.5,73.2,Прикладная математика,"Екатеринбург, ул. Центральная, д. 1, кв. 115",+375851699497,True
Иванов Роман Никитич,М,2024,очно-заочная,,66.7,,78.8,,,58.7,89.2,75.6,Медицинская биохимия,"Самара, ул. Пролетарская, д. 160, кв. 104",+375269708386,True
Баранова Светлана Петровна,Ж,2024,очная,,,,76.1,,66.8,63.1,76.8,70.2,Медицинская биохимия,"Краснодар, ул. Советская, д. 146, кв. 117",+375609320126,True
Фёдорова Александра Алексеевна,Ж,2024,очная,81.1,,69.5,,50.6,,,71.6,70.4,История,"Санкт-Петербург, ул. Зелёная, д. 93, кв. 86",+375851777412,True
Новиков Никита Алексеевич,М,2024,очно-заочная,60.1,,,,64.5,67.1,,85.6,73.3,Медицинская биохимия,"Воронеж, ул. Центральная, д. 46, кв. 42",+375297589170,True
Соловьёва Ирина Михайловна,Ж,2024,заочная,47.8,,65.7,,50.7,,,82.9,63.9,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 1, кв. 148",+375225709001,True
Соловьёва Ольга Владимировна,Ж,2024,очная,61.7,66.1,,60.3,,,,86.0,72.8,Экономика,"Пермь, ул. Мира, д. 144, кв. 157",+375540017882,True
Лебедев Илья Сергеевич,М,2024,очная,80.3,,,71.8,,,68.5,81.8,74.5,История,"Санкт-Петербург, ул. Ленина, д. 90, кв. 144",+375011950927,True
Морозова Мария Никитична,Ж,2024,очная,60.9,,,,,71.3,85.2,84.7,75.0,Экономика,"Самара, ул. Мира, д. 52, кв. 12",+375071695007,True
Козлов Дмитрий Михайлович,М,2024,очная,,,55.5,,,70.6,55.5,81.7,67.6,Экономика,"Пермь, ул. Пролетарская, д. 55, кв. 106",+375529447161,True
Васильева Светлана Денисовна,Ж,2024,очная,67.1,,49.5,,56.6,,,76.6,63.4,Информатика и вычислительная техника,"Москва, ул. Мира, д. 91, кв. 199",+375896321743,True
Фёдорова Александра Михайловна,Ж,2024,очная,,66.2,49.9,,,,69.7,79.8,69.6,Медицинская биохимия,"Пермь, ул. Новая, д. 10, кв. 191",+375673983448,True
Смирнов Андрей Алексеевич,М,2024,очная,,62.6,54.3,71.5,,,,88.2,69.9,История,"Краснодар, ул. Центральная, д. 181, кв. 13",+375657955156,True
Сидоров Роман Иванович,М,2024,очная,,,56.7,,59.3,72.4,,76.2,68.2,Информатика и вычислительная техника,"Самара, ул. Советская, д. 60, кв. 26",+375117861902,True
Лебедев Илья Владимирович,М,2024,очная,,65.4,,,,72.0,47.6,86.2,69.5,Биология,"Казань, ул. Советская, д. 175, кв. 46",+375012275950,True
Иванов Никита Петрович,М,2024,очная,,70.3,59.9,,,67.6,,78.1,70.0,Химия,"Самара, ул. Школьная, д. 9, кв. 113",+375407173279,False
Баранова Александра Никитична,Ж,2024,очная,43.7,85.3,,,,63.8,,81.0,72.0,Биология,"Москва, ул. Победы, д. 177, кв. 149",+375104520360,True
Петров Илья Петрович,М,2024,очная,79.6,,,,60.2,68.6,,76.7,73.8,Физика,"Нижний Новгород, ул. Школьная, д. 195, кв. 193",+375359520561,True
Лебедев Никита Иванович,М,2024,очная,,,,78.4,48.3,,65.0,74.7,67.9,Прикладная математика,"Краснодар, ул. Зелёная, д. 68, кв. 12",+375378423394,False
Кузнецов Егор Иванович,М,2024,очная,,,,72.4,,73.7,56.8,74.0,68.7,Информатика и вычислительная техника,"Нижний Новгород, ул. Ленина, д. 19, кв. 127",+375365426241,True
Сидоров Илья Иванович,М,2024,очная,,61.6,,,53.7,72.2,,76.1,65.5,Прикладная математика,"Москва, ул. Пролетарская, д. 11, кв. 165",+375605308868,False
Сидоров Александр Петрович,М,2024,очная,,40.0,,62.9,,,50.2,68.5,59.0,История,"Краснодар, ул. Школьная, д. 194, кв. 145",+375887592129,False
Кузьмина Елена Алексеевна,Ж,2024,очная,,54.8,,70.4,,,81.8,80.2,72.8,Физика,"Нижний Новгород, ул. Строителей, д. 48, кв. 20",+375477092071,True
Сидоров Егор Сергеевич,М,2024,очно-заочная,56.3,72.1,,,57.6,,,74.1,64.5,Физика,"Пермь, ул. Советская, д. 134, кв. 147",+375705916118,False
Попов Андрей Никитич,М,2024,очная,57.8,,,,48.7,61.2,,79.2,62.7,Экономика,"Санкт-Петербург, ул. Новая, д. 143, кв. 133",+375005378931,False
Баранова Елена Алексеевна,Ж,2024,очная,,67.6,,59.1,60.7,,,81.9,70.7,Химия,"Санкт-Петербург, ул. Строителей, д. 36, кв. 44",+375720028394,True
Васильева Ольга Алексеевна,Ж,2024,очная,52.2,,71.0,,,52.6,,73.8,65.6,Физика,"Пермь, ул. Советская, д. 17, кв. 108",+375599302020,False
Кузьмина Анна Алексеевна,Ж,2024,очная,,50.8,,64.0,,,71.5,81.4,67.8,Прикладная математика,"Екатеринбург, ул. Ленина, д. 199, кв. 195",+375281650646,False
Попов Александр Сергеевич,М,2024,заочная,,,,73.8,,74.8,50.4,76.3,68.3,Биология,"Санкт-Петербург, ул. Ленина, д. 167, кв. 42",+375916174690,True
Баранова Екатерина Сергеевна,Ж,2024,очная,55.2,,83.5,,,,53.9,83.7,69.3,Химия,"Воронеж, ул. Новая, д. 42, кв. 39",+375913167080,False
Попов Андрей Владимирович,М,2024,заочная,73.3,,,85.8,,,65.7,82.6,77.9,Прикладная математика,"Воронеж, ул. Школьная, д. 93, кв. 16",+375494440766,True
Баранова Ирина Сергеевна,Ж,2024,очно-заочная,,,83.4,60.8,48.9,,,67.0,64.0,Экономика,"Новосибирск, ул. Новая, д. 35, кв. 112",+375114243625,True
Соловьёва Светлана Михайловна,Ж,2024,очно-заочная,76.1,,,,48.0,66.3,,80.9,71.4,Экономика,"Самара, ул. Пролетарская, д. 26, кв. 190",+375962341996,True
Козлов Сергей Никитич,М,2024,заочная,,71.8,74.5,,,64.6,,86.0,76.5,История,"Нижний Новгород, ул. Строителей, д. 61, кв. 58",+375343031158,True
Попов Александр Михайлович,М,2024,очная,,,,60.1,,59.4,55.5,83.3,68.3,История,"Воронеж, ул. Пролетарская, д. 183, кв. 185",+375453536597,True
Егорова Ирина Владимировна,Ж,2024,заочная,,,,79.1,65.6,,74.4,71.2,70.9,Химия,"Новосибирск, ул. Школьная, д. 74, кв. 95",+375080959481,True
Егорова Екатерина Алексеевна,Ж,2024,очная,,,81.1,84.2,69.7,,,89.0,80.1,Биология,"Казань, ул. Мира, д. 62, кв. 95",+375914261404,True
Павлова Виктория Сергеевна,Ж,2024,очно-заочная,46.9,58.4,,56.2,,,,82.6,63.7,Информатика и вычислительная техника,"Воронеж, ул. Победы, д. 169, кв. 198",+375731008178,True
Васильева Екатерина Петровна,Ж,2024,очная,,,,50.9,77.4,77.0,,82.5,72.2,Физика,"Казань, ул. Мира, д. 111, кв. 130",+375744701732,True
Медведева Анна Владимировна,Ж,2024,очно-заочная,,72.4,,,,55.2,53.4,85.8,68.8,Медицинская биохимия,"Нижний Новгород, ул. Новая, д. 49, кв. 50",+375701400527,True
Соколова Мария Никитична,Ж,2024,очная,68.7,,,,69.3,61.2,,66.1,67.2,Физика,"Санкт-Петербург, ул. Центральная, д. 48, кв. 82",+375731609439,False
Павлова Мария Владимировна,Ж,2024,очная,54.7,,,,,81.3,48.0,79.4,66.4,Прикладная математика,"Самара, ул. Школьная, д. 90, кв. 182",+375286209297,False
Васильева Александра Никитична,Ж,2024,заочная,,79.7,49.4,,,63.9,,83.9,70.1,Экономика,"Самара, ул. Победы, д. 134, кв. 155",+375920457353,True
Соколов Никита Петрович,М,2024,очная,61.5,,,89.7,,53.6,,84.7,74.1,Информатика и вычислительная техника,"Воронеж, ул. Пролетарская, д. 128, кв. 31",+375823601071,True
Попов Дмитрий Сергеевич,М,2024,заочная,,,,,65.1,70.0,65.8,73.9,70.1,Экономика,"Воронеж, ул. Центральная, д. 137, кв. 67",+375673574223,True
Васильева Ольга Алексеевна,Ж,2024,заочная,69.1,,,,49.5,69.5,,80.1,68.2,Физика,"Самара, ул. Мира, д. 184, кв. 171",+375225606295,False
Соколов Александр Сергеевич,М,2024,заочная,,,,75.5,,73.5,72.7,79.2,75.9,Прикладная математика,"Казань, ул. Новая, д. 176, кв. 126",+375413075384,True
Соловьёва Светлана Алексеевна,Ж,2024,очная,59.4,55.1,,,,79.0,,86.9,73.0,Химия,"Екатеринбург, ул. Пролетарская, д. 185, кв. 122",+375561547055,True
Сидоров Дмитрий Петрович,М,2024,очная,,,58.8,66.6,,60.6,,85.3,69.5,История,"Казань, ул. Ленина, д. 146, кв. 172",+375196939578,True
Иванов Максим Денисович,М,2024,заочная,69.7,84.3,,,,,53.3,76.0,69.8,Информатика и вычислительная техника,"Краснодар, ул. Советская, д. 35, кв. 187",+375124139369,True
Новиков Андрей Денисович,М,2024,очная,,,,65.0,68.6,,63.2,73.1,67.2,Экономика,"Самара, ул. Мира, д. 34, кв. 113",+375607598897,True
Соловьёва Елена Сергеевна,Ж,2024,заочная,,78.3,,,74.7,54.4,,86.4,75.6,Прикладная математика,"Воронеж, ул. Школьная, д. 80, кв. 49",+375089523120,True
Петров Роман Никитич,М,2024,заочная,,,80.3,64.6,,,64.1,81.6,75.0,Экономика,"Казань, ул. Зелёная, д. 2, кв. 183",+375002687644,True
Фёдорова Елена Владимировна,Ж,2024,очная,,,,61.1,69.6,,40.0,83.6,65.8,Биология,"Нижний Новгород, ул. Новая, д. 177, кв. 9",+375450063553,False
Новиков Александр Владимирович,М,2024,заочная,,,,46.7,80.2,,58.0,77.0,65.6,История,"Воронеж, ул. Победы, д. 83, кв. 53",+375059702551,False
Лебедев Максим Владимирович,М,2024,очно-заочная,,64.1,66.2,80.8,,,,63.4,68.4,История,"Нижний Новгород, ул. Центральная, д. 106, кв. 169",+375634544344,True
Баранова Ирина Петровна,Ж,2024,очная,,80.8,,,66.3,,55.5,71.8,68.1,Химия,"Краснодар, ул. Центральная, д. 58, кв. 148",+375464088223,False
Козлов Егор Владимирович,М,2024,очная,,87.1,,57.7,,54.3,,85.1,71.3,Химия,"Новосибирск, ул. Советская, д. 3, кв. 195",+375972021707,True
Попов Андрей Сергеевич,М,2024,очная,,,67.3,59.1,,64.0,,72.1,64.6,Физика,"Москва, ул. Ленина, д. 78, кв. 72",+375964612939,False
Сидоров Александр Никитич,М,2024,очная,78.8,75.7,,,,,74.4,80.5,77.9,История,"Самара, ул. Новая, д. 49, кв. 85",+375957086199,True
Смирнов Дмитрий Никитич,М,2024,очная,,82.1,62.7,,,49.4,,81.0,68.6,История,"Екатеринбург, ул. Центральная, д. 47, кв. 49",+375622033474,True
Кузнецов Никита Петрович,М,2024,очная,,88.5,,54.5,,64.3,,80.8,74.3,Медицинская биохимия,"Пермь, ул. Ленина, д. 9, кв. 142",+375529469021,True
Фёдорова Наталья Михайловна,Ж,2024,очная,63.0,59.1,72.3,,,,,92.2,74.5,Биология,"Нижний Новгород, ул. Ленина, д. 42, кв. 42",+375894665275,True
Павлова Екатерина Сергеевна,Ж,2024,очная,,62.6,,,51.6,,48.3,79.8,62.0,Прикладная математика,"Москва, ул. Победы, д. 6, кв. 57",+375346771167,False
Лебедев Александр Владимирович,М,2024,очная,,,,75.0,73.4,63.0,,74.8,70.7,Информатика и вычислительная техника,"Нижний Новгород, ул. Победы, д. 15, кв. 21",+375239847230,True
Иванов Максим Алексеевич,М,2024,очная,57.7,,,76.8,78.8,,,69.0,68.7,Информатика и вычислительная техника,"Новосибирск, ул. Мира, д. 170, кв. 34",+375405076487,True
Фёдорова Мария Денисовна,Ж,2024,очная,82.6,,74.6,83.9,,,,70.2,78.5,Физика,"Москва, ул. Новая, д. 93, кв. 164",+375838727258,True
Васильева Мария Алексеевна,Ж,2024,очная,50.7,,66.6,,68.3,,,89.1,73.1,Химия,"Новосибирск, ул. Победы, д. 125, кв. 64",+375379121211,True
Медведева Мария Денисовна,Ж,2024,заочная,77.4,63.6,58.3,,,,,85.7,73.9,Информатика и вычислительная техника,"Санкт-Петербург, ул. Зелёная, д. 13, кв. 125",+375403925199,True
Васильева Александра Никитична,Ж,2024,очно-заочная,51.9,,,78.5,,,66.7,87.8,74.4,Медицинская биохимия,"Екатеринбург, ул. Победы, д. 143, кв. 117",+375220542216,True
Смирнов Егор Владимирович,М,2024,заочная,74.2,67.3,,,,,57.3,76.3,69.0,Химия,"Краснодар, ул. Ленина, д. 79, кв. 129",+375878995047,False
