ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Козлов Илья Иванович,М,2023,заочная,Прикладная математика,"Москва, ул. Советская, д. 56, кв. 36",+375867241967,83.9,72.2,,81.1,,76.8,,,76.7,79.7
Соколов Дмитрий Алексеевич,М,2023,очная,Прикладная математика,"Самара, ул. Ленина, д. 194, кв. 38",+375869978591,78.5,,69.2,,,,79.7,82.9,77.26666666666667,78.7
Попов Илья Владимирович,М,2023,очная,История,"Новосибирск, ул. Зелёная, д. 137, кв. 75",+375138617687,88.7,,68.3,,66.3,68.7,,,67.76666666666667,74.3
Иванов Егор Владимирович,М,2023,очная,История,"Воронеж, ул. Пролетарская, д. 148, кв. 115",+375201135383,76.7,71.4,,66.5,,,62.6,,66.83333333333333,70.8
Новиков Александр Сергеевич,М,2023,очная,Химия,"Екатеринбург, ул. Победы, д. 175, кв. 82",+375559907252,89.3,,,60.9,,,72.8,66.8,66.83333333333333,73.4
Козлов Егор Михайлович,М,2023,очно-заочная,Информатика и вычислительная техника,"Казань, ул. Пролетарская, д. 174, кв. 78",+375140862352,71.2,,61.1,,,56.5,74.5,,64.03333333333333,65.4
Соколов Дмитрий Денисович,М,2023,очно-заочная,Экономика,"Воронеж, ул. Школьная, д. 23, кв. 150",+375658432902,72.1,,,,75.9,,77.0,84.4,79.10000000000001,74.9
Смирнов Андрей Петрович,М,2023,очно-заочная,Физика,"Москва, ул. Пролетарская, д. 131, кв. 104",+375266027866,72.4,,57.8,54.2,64.9,,,,58.96666666666667,64.7
Морозова Екатерина Владимировна,Ж,2023,очная,Физика,"Новосибирск, ул. Центральная, д. 16, кв. 95",+375752060089,83.7,,,,61.3,68.5,,60.1,63.300000000000004,70.5
Соловьёва Александра Никитична,Ж,2023,очная,История,"Пермь, ул. Ленина, д. 1, кв. 181",+375635065362,73.2,,,52.8,84.4,,,62.8,66.66666666666667,67.9
Павлова Екатерина Владимировна,Ж,2023,очная,Информатика и вычислительная техника,"Пермь, ул. Школьная, д. 29, кв. 73",+375032014703,86.9,,51.2,,,40.0,74.8,,55.333333333333336,66.6
Соколова Светлана Ивановна,Ж,2023,очная,История,"Москва, ул. Победы, д. 111, кв. 180",+375346750625,74.8,65.8,,54.1,,,75.1,,65.0,67.8
Сидоров Александр Никитич,М,2023,очная,Экономика,"Самара, ул. Новая, д. 161, кв. 82",+375769588000,80.4,,,91.4,71.4,,,61.2,74.66666666666667,78.0
Козлов Михаил Денисович,М,2023,очная,Физика,"Воронеж, ул. Новая, д. 98, кв. 112",+375796213269,81.8,75.1,,,,,69.4,65.7,70.06666666666666,74.3
Баранова Екатерина Алексеевна,Ж,2023,очная,Медицинская биохимия,"Пермь, ул. Победы, д. 170, кв. 45",+375752516963,71.9,67.5,60.4,,,,44.1,,57.333333333333336,60.6
Баранова Александра Никитична,Ж,2023,очная,История,"Краснодар, ул. Мира, д. 49, кв. 143",+375736346929,69.7,79.8,52.7,,,65.3,,,65.93333333333334,69.2
Егорова Екатерина Михайловна,Ж,2023,очно-заочная,Биология,"Воронеж, ул. Школьная, д. 107, кв. 40",+375424296088,79.7,76.5,,53.9,,,,68.5,66.3,69.3
Попов Роман Денисович,М,2023,заочная,Медицинская биохимия,"Казань, ул. Мира, д. 35, кв. 3",+375489542739,76.3,69.0,,,82.2,65.4,,,72.2,74.4
Смирнов Роман Денисович,М,2023,заочная,Экономика,"Санкт-Петербург, ул. Ленина, д. 37, кв. 185",+375257854118,81.0,,,,74.5,58.0,84.5,,72.33333333333333,75.1
Попов Александр Никитич,М,2023,очная,Экономика,"Краснодар, ул. Новая, д. 35, кв. 22",+375112236813,69.9,,67.0,,53.1,,66.0,,62.03333333333333,63.8
Соколов Дмитрий Михайлович,М,2023,очная,История,"Новосибирск, ул. Новая, д. 117, кв. 179",+375819097867,75.9,,,,59.5,65.6,59.0,,61.36666666666667,67.2
Баранова Анна Денисовна,Ж,2023,очная,Химия,"Самара, ул. Новая, д. 160, кв. 47",+375331718303,76.9,58.7,,,54.3,,67.3,,60.1,64.5
Баранова Ирина Сергеевна,Ж,2023,очно-заочная,История,"Краснодар, ул. Строителей, д. 109, кв. 142",+375256715594,63.4,73.4,60.3,,,75.8,,,69.83333333333333,69.0
Новиков Александр Денисович,М,2023,очная,Химия,"Краснодар, ул. Новая, д. 91, кв. 58",+375996239832,84.0,72.9,,,,,65.8,50.8,63.166666666666664,69.5
Медведева Екатерина Владимировна,Ж,2023,очная,Экономика,"Новосибирск, ул. Новая, д. 155, кв. 2",+375143765129,73.5,,,,78.4,63.7,57.0,,66.36666666666667,68.3
Павлова Екатерина Ивановна,Ж,2023,заочная,Информатика и вычислительная техника,"Самара, ул. Зелёная, д. 188, кв. 61",+375884217596,87.0,,79.4,87.4,,,54.2,,73.66666666666667,78.9
Петров Роман Сергеевич,М,2023,очная,Экономика,"Пермь, ул. Центральная, д. 106, кв. 140",+375009192042,73.8,,,,,61.3,56.4,79.9,65.86666666666666,66.6
Лебедев Александр Никитич,М,2023,очная,Физика,"Самара, ул. Школьная, д. 9, кв. 10",+375075828802,74.9,51.9,,,,79.8,68.0,,66.56666666666666,69.4
Сидоров Никита Владимирович,М,2023,очная,Медицинская биохимия,"Самара, ул. Зелёная, д. 181, кв. 95",+375573485663,70.5,,68.9,,63.3,58.4,,,63.53333333333333,67.5
Соколов Сергей Денисович,М,2023,очная,Медицинская биохимия,"Санкт-Петербург, ул. Пролетарская, д. 124, кв. 177",+375334478160,84.9,,43.5,,,59.4,65.0,,55.96666666666667,66.8
Сидоров Александр Сергеевич,М,2023,очная,Прикладная математика,"Санкт-Петербург, ул. Мира, д. 187, кв. 188",+375039611091,80.7,58.5,52.4,67.0,,,,,59.300000000000004,66.3
Попов Андрей Денисович,М,2023,очная,Прикладная математика,"Пермь, ул. Центральная, д. 120, кв. 133",+375685919986,86.4,,56.3,,,56.3,,50.1,54.23333333333333,66.1
Соколов Андрей Никитич,М,2023,очная,Экономика,"Санкт-Петербург, ул. Строителей, д. 157, кв. 23",+375081383206,76.8,73.0,,70.6,62.5,,,,68.7,73.3
Лебедев Максим Никитич,М,2023,очная,Физика,"Екатеринбург, ул. Зелёная, д. 162, кв. 190",+375593553597,77.7,,63.3,,83.4,,,63.8,70.16666666666667,71.6
Соловьёва Светлана Михайловна,Ж,2023,заочная,Прикладная математика,"Санкт-Петербург, ул. Строителей, д. 149, кв. 80",+375239039987,67.9,71.7,,52.8,,,,56.4,60.300000000000004,63.1
Лебедев Роман Сергеевич,М,2023,очная,Медицинская биохимия,"Самара, ул. Ленина, д. 88, кв. 137",+375369289319,74.3,,58.9,,,62.2,54.4,,58.5,63.0
Кузьмина Ольга Михайловна,Ж,2023,очная,История,"Москва, ул. Зелёная, д. 117, кв. 132",+375419590532,79.0,94.6,,62.1,,,,63.6,73.43333333333332,76.8
Смирнов Сергей Михайлович,М,2023,очная,Информатика и вычислительная техника,"Краснодар, ул. Пролетарская, д. 188, кв. 85",+375168258164,80.3,,,66.7,63.5,,,93.2,74.46666666666665,77.4
Фёдорова Ольга Никитична,Ж,2023,заочная,Информатика и вычислительная техника,"Воронеж, ул. Школьная, д. 76, кв. 75",+375468389832,88.9,79.6,60.7,54.0,,,,,64.76666666666667,74.4
Попов Михаил Михайлович,М,2023,очная,Физика,"Новосибирск, ул. Ленина, д. 178, кв. 153",+375181544354,66.9,,,,,65.2,68.7,48.2,60.70000000000001,64.6
Петров Илья Владимирович,М,2023,очная,Экономика,"Казань, ул. Пролетарская, д. 67, кв. 16",+375385999295,79.4,,70.8,67.9,75.1,,,,71.26666666666667,73.0
Соловьёва Елена Алексеевна,Ж,2023,заочная,Прикладная математика,"Краснодар, ул. Пролетарская, д. 44, кв. 147",+375049578213,75.7,69.4,,,,70.8,87.0,,75.73333333333333,73.9
Соколова Ирина Михайловна,Ж,2023,заочная,История,"Москва, ул. Центральная, д. 189, кв. 160",+375772329135,78.5,,,,42.4,86.1,,67.8,65.43333333333334,69.2
Соловьёва Мария Денисовна,Ж,2023,очная,Информатика и вычислительная техника,"Москва, ул. Центральная, д. 125, кв. 22",+375421808065,78.6,54.1,,64.2,,,,69.1,62.46666666666667,67.7
Лебедев Илья Сергеевич,М,2023,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Строителей, д. 20, кв. 72",+375622031972,76.9,,,69.0,66.3,72.9,,,69.4,72.5
Козлов Сергей Михайлович,М,2023,очная,Биология,"Казань, ул. Мира, д. 158, кв. 72",+375668507024,71.2,68.0,,64.5,,,,69.5,67.33333333333333,69.9
Кузьмина Светлана Алексеевна,Ж,2023,очная,Экономика,"Казань, ул. Центральная, д. 4, кв. 190",+375786824970,70.1,68.2,66.7,66.8,,,,,67.23333333333333,67.6
Баранова Мария Сергеевна,Ж,2023,очная,Биология,"Санкт-Петербург, ул. Пролетарская, д. 45, кв. 152",+375760995014,76.4,57.4,,65.2,60.7,,,,61.1,66.3
Соколова Ольга Сергеевна,Ж,2023,очная,Медицинская биохимия,"Новосибирск, ул. Зелёная, д. 95, кв. 45",+375190577752,69.5,51.5,,,60.3,,66.4,,59.4,64.1
Соколова Ольга Петровна,Ж,2023,очно-заочная,Информатика и вычислительная техника,"Казань, ул. Победы, д. 125, кв. 47",+375014949008,77.3,72.0,62.2,,,67.1,,,67.1,69.6
Попов Никита Денисович,М,2023,очная,Физика,"Пермь, ул. Ленина, д. 88, кв. 22",+375169367403,76.5,,69.0,,62.0,78.1,,,69.7,70.9
Васильева Мария Ивановна,Ж,2023,очная,Химия,"Новосибирск, ул. Пролетарская, д. 40, кв. 127",+375929499516,63.3,85.0,,,64.0,,,59.5,69.5,67.7
Сидоров Андрей Владимирович,М,2023,очно-заочная,Химия,"Воронеж, ул. Новая, д. 61, кв. 170",+375209289553,89.6,,76.0,78.0,,,50.5,,68.16666666666667,75.4
Лебедев Михаил Сергеевич,М,2023,очно-заочная,История,"Краснодар, ул. Мира, д. 54, кв. 148",+375746844351,78.5,,66.2,,53.5,,77.7,,65.8,72.0
Попов Илья Михайлович,М,2023,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Ленина, д. 165, кв. 68",+375201177154,63.4,,,67.2,,,70.7,82.3,73.39999999999999,69.3
Петров Александр Сергеевич,М,2023,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Ленина, д. 43, кв. 119",+375244422361,79.5,,56.8,,65.3,62.9,,,61.666666666666664,68.9
Иванов Андрей Алексеевич,М,2023,очная,Медицинская биохимия,"Воронеж, ул. Зелёная, д. 78, кв. 122",+375933097076,76.8,68.0,,79.9,,,,64.7,70.86666666666667,73.3
Сидоров Никита Иванович,М,2023,очно-заочная,Информатика и вычислительная техника,"Пермь, ул. Победы, д. 98, кв. 175",+375874792963,70.1,,,,70.4,,71.0,57.8,66.39999999999999,65.9
Фёдорова Елена Алексеевна,Ж,2023,очно-заочная,Физика,"Воронеж, ул. Зелёная, д. 68, кв. 38",+375486359698,79.9,,67.1,57.2,,,,84.6,69.63333333333333,71.6
Иванов Илья Иванович,М,2023,заочная,Биология,"Пермь, ул. Новая, д. 4, кв. 74",+375392708017,72.3,60.4,,,75.9,,68.8,,68.36666666666667,68.6
Баранова Ирина Петровна,Ж,2023,очная,Информатика и вычислительная техника,"Краснодар, ул. Новая, д. 174, кв. 81",+375862651299,79.2,,54.9,76.9,,,71.9,,67.9,70.4
Смирнов Егор Денисович,М,2023,очная,Информатика и вычислительная техника,"Пермь, ул. Ленина, д. 25, кв. 137",+375493137449,73.8,75.4,54.3,69.0,,,,,66.23333333333333,68.2
Козлов Андрей Денисович,М,2023,очная,Медицинская биохимия,"Нижний Новгород, ул. Новая, д. 157, кв. 167",+375275118698,72.6,71.2,81.8,,52.9,,,,68.63333333333334,70.3
Медведева Екатерина Денисовна,Ж,2023,очная,Экономика,"Казань, ул. Школьная, д. 70, кв. 69",+375540552222,77.9,,,71.8,79.1,,81.3,,77.39999999999999,78.0
Кузнецов Илья Петрович,М,2023,очная,Прикладная математика,"Санкт-Петербург, ул. Центральная, д. 168, кв. 150",+375691991296,68.3,67.1,60.2,,,,54.7,,60.666666666666664,63.7
Сидоров Егор Денисович,М,2023,заочная,Экономика,"Воронеж, ул. Зелёная, д. 198, кв. 173",+375268936877,77.5,,,80.2,53.2,,76.1,,69.83333333333333,71.0
Сидоров Илья Иванович,М,2023,очная,Медицинская биохимия,"Екатеринбург, ул. Пролетарская, д. 198, кв. 50",+375844247437,81.9,61.0,,,63.6,,69.6,,64.73333333333333,71.1
Смирнов Егор Сергеевич,М,2023,очная,Экономика,"Пермь, ул. Школьная, д. 174, кв. 177",+375654491377,85.6,,59.8,,61.6,58.7,,,60.03333333333334,68.6
Баранова Екатерина Владимировна,Ж,2023,очно-заочная,Медицинская биохимия,"Новосибирск, ул. Школьная, д. 141, кв. 3",+375014896940,84.5,,,73.9,74.4,72.5,,,73.60000000000001,79.0
Козлов Никита Никитич,М,2023,очная,Физика,"Москва, ул. Советская, д. 4, кв. 106",+375576143890,86.1,,,,65.8,,64.5,77.7,69.33333333333333,76.8
Егорова Мария Петровна,Ж,2023,очно-заочная,История,"Санкт-Петербург, ул. Строителей, д. 27, кв. 176",+375528458878,75.3,54.1,74.9,,,,60.3,,63.1,68.4
Сидоров Максим Денисович,М,2023,очная,Информатика и вычислительная техника,"Краснодар, ул. Школьная, д. 57, кв. 186",+375354431580,71.9,62.3,79.8,,,,,55.5,65.86666666666666,68.8
Павлова Александра Ивановна,Ж,2023,очная,Медицинская биохимия,"Казань, ул. Центральная, д. 50, кв. 9",+375652038121,82.9,,53.0,40.0,,62.7,,,51.9,61.2
Егорова Ирина Сергеевна,Ж,2023,очная,Медицинская биохимия,"Москва, ул. Пролетарская, д. 24, кв. 15",+375197267217,74.9,54.6,83.3,,,,63.5,,67.13333333333334,68.2
Кузьмина Наталья Никитична,Ж,2023,очная,Прикладная математика,"Самара, ул. Победы, д. 154, кв. 164",+375260582657,78.0,60.4,,64.6,,,73.5,,66.16666666666667,71.7
Новиков Илья Иванович,М,2023,заочная,Медицинская биохимия,"Санкт-Петербург, ул. Советская, д. 23, кв. 155",+375223283577,82.5,73.6,,,73.3,59.1,,,68.66666666666666,73.2
Попов Илья Сергеевич,М,2023,очная,Химия,"Новосибирск, ул. Новая, д. 169, кв. 196",+375445969635,90.1,,,65.0,64.8,,,74.2,68.0,75.5
Петров Александр Денисович,М,2023,очная,История,"Самара, ул. Мира, д. 29, кв. 179",+375644165032,81.2,67.9,,76.5,70.8,,,,71.73333333333333,76.4
Васильева Ирина Владимировна,Ж,2023,очная,Информатика и вычислительная техника,"Новосибирск, ул. Центральная, д. 76, кв. 120",+375269378243,79.2,,69.1,,45.6,,,71.3,62.0,68.5
Кузьмина Светлана Петровна,Ж,2023,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Зелёная, д. 71, кв. 197",+375959372405,71.3,,72.4,,,62.4,,60.1,64.96666666666667,65.9
Соловьёва Ирина Сергеевна,Ж,2023,заочная,Прикладная математика,"Воронеж, ул. Школьная, д. 66, кв. 42",+375478772334,85.0,,68.7,67.1,,,,81.3,72.36666666666667,75.6
Сидоров Сергей Денисович,М,2023,очная,Физика,"Санкт-Петербург, ул. Центральная, д. 199, кв. 16",+375889070167,80.5,82.4,,60.4,,,,52.6,65.13333333333334,68.5
Фёдорова Екатерина Никитична,Ж,2023,очно-заочная,Информатика и вычислительная техника,"Воронеж, ул. Новая, д. 86, кв. 16",+375026877892,75.9,,54.8,,68.9,,51.0,,58.23333333333333,65.3
Медведева Елена Денисовна,Ж,2024,заочная,Химия,"Казань, ул. Центральная, д. 46, кв. 113",+375707670564,75.6,70.4,83.2,,87.9,,,,80.50000000000001,78.7
Кузнецов Андрей Сергеевич,М,2024,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Зелёная, д. 52, кв. 157",+375462560137,75.9,,,,,65.0,54.5,56.4,58.63333333333333,66.5
Петров Роман Денисович,М,2024,заочная,Химия,"Воронеж, ул. Мира, д. 166, кв. 126",+375950946587,78.6,,76.1,,,66.2,50.8,,64.36666666666667,70.2
Соловьёва Светлана Петровна,Ж,2024,очная,История,"Санкт-Петербург, ул. Мира, д. 139, кв. 197",+375346748933,69.5,,65.6,,,66.9,,51.6,61.36666666666667,62.6
Морозова Виктория Ивановна,Ж,2024,очная,История,"Воронеж, ул. Победы, д. 158, кв. 165",+375707403137,85.6,62.5,60.1,,,,,78.1,66.89999999999999,72.1
Медведева Светлана Сергеевна,Ж,2024,очная,Биология,"Санкт-Петербург, ул. Зелёная, д. 184, кв. 67",+375406082259,84.5,52.7,,56.8,71.9,,,,60.46666666666667,68.9
Козлов Роман Алексеевич,М,2024,очно-заочная,Биология,"Санкт-Петербург, ул. Ленина, д. 19, кв. 19",+375550457042,77.3,,68.4,,72.0,,,51.2,63.866666666666674,70.3
Соловьёва Екатерина Денисовна,Ж,2024,заочная,Химия,"Самара, ул. Центральная, д. 199, кв. 115",+375176964841,75.9,62.3,69.4,,,69.4,,,67.03333333333333,69.1
Кузнецов Дмитрий Денисович,М,2024,очная,Физика,"Москва, ул. Зелёная, д. 39, кв. 168",+375234264456,78.2,55.3,,,79.4,,,56.5,63.73333333333333,70.1
Козлов Дмитрий Денисович,М,2024,очно-заочная,Информатика и вычислительная техника,"Москва, ул. Ленина, д. 171, кв. 100",+375997834478,79.2,,,77.0,92.4,48.4,,,72.60000000000001,74.2
Лебедев Александр Алексеевич,М,2024,очная,Медицинская биохимия,"Казань, ул. Мира, д. 180, кв. 85",+375642084893,76.5,,62.5,,,,65.0,90.1,72.53333333333333,73.0
Егорова Светлана Денисовна,Ж,2024,очная,Информатика и вычислительная техника,"Воронеж, ул. Пролетарская, д. 1, кв. 132",+375431073457,84.3,,76.7,66.2,82.8,,,,75.23333333333333,80.0
Соколова Виктория Денисовна,Ж,2024,очная,Биология,"Краснодар, ул. Зелёная, д. 112, кв. 104",+375763536049,69.8,71.0,,,84.0,51.7,,,68.89999999999999,67.4
Соколова Ирина Владимировна,Ж,2024,заочная,Экономика,"Санкт-Петербург, ул. Строителей, д. 58, кв. 1",+375936843848,74.0,66.0,,,80.9,,70.4,,72.43333333333334,73.6
Иванов Илья Сергеевич,М,2024,очная,Медицинская биохимия,"Воронеж, ул. Зелёная, д. 32, кв. 146",+375736493448,83.0,57.8,,83.4,,,,58.2,66.46666666666665,70.4
Морозова Виктория Ивановна,Ж,2024,очная,Химия,"Пермь, ул. Школьная, д. 86, кв. 175",+375853121454,80.2,,,69.4,,,58.2,58.3,61.96666666666667,69.6
Попов Никита Петрович,М,2024,очная,Медицинская биохимия,"Казань, ул. Новая, д. 15, кв. 162",+375148391228,74.2,,57.4,,74.4,,80.6,,70.8,73.3
Соколова Светлана Петровна,Ж,2024,очная,Экономика,"Санкт-Петербург, ул. Школьная, д. 137, кв. 88",+375300661884,80.7,81.4,67.2,67.0,,,,,71.86666666666667,76.5
Иванов Михаил Михайлович,М,2024,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Зелёная, д. 195, кв. 197",+375222537408,73.5,76.2,,,,,63.7,59.7,66.53333333333335,67.7
Сидоров Никита Алексеевич,М,2024,очная,Информатика и вычислительная техника,"Казань, ул. Победы, д. 46, кв. 142",+375050294969,76.4,,,72.5,,,45.8,74.5,64.26666666666667,67.0
Попов Никита Владимирович,М,2024,заочная,Физика,"Москва, ул. Новая, д. 170, кв. 49",+375785878938,84.6,,54.9,84.8,72.6,,,,70.76666666666667,75.6
Соколов Михаил Владимирович,М,2024,очная,Прикладная математика,"Казань, ул. Новая, д. 28, кв. 162",+375644019275,83.9,53.2,,56.9,,73.7,,,61.26666666666667,68.3
Медведева Мария Алексеевна,Ж,2024,очная,Медицинская биохимия,"Нижний Новгород, ул. Зелёная, д. 22, кв. 162",+375940822131,80.0,,50.8,57.5,55.6,,,,54.63333333333333,63.9
Петров Егор Алексеевич,М,2024,очная,Биология,"Краснодар, ул. Победы, д. 36, кв. 10",+375896725950,72.0,,,67.3,69.7,,70.2,,69.06666666666666,70.1
Соколов Андрей Алексеевич,М,2024,заочная,Экономика,"Екатеринбург, ул. Ленина, д. 185, кв. 152",+375522299743,76.0,59.2,,40.0,,,66.7,,55.300000000000004,61.1
Соколова Ольга Ивановна,Ж,2024,очно-заочная,Экономика,"Екатеринбург, ул. Зелёная, д. 100, кв. 17",+375880174609,78.9,65.6,,,,68.8,69.3,,67.89999999999999,72.7
Лебедев Илья Владимирович,М,2024,очная,Экономика,"Пермь, ул. Центральная, д. 128, кв. 137",+375429118336,87.0,,62.0,65.2,,,,67.0,64.73333333333333,73.7
Егорова Светлана Сергеевна,Ж,2024,очно-заочная,Биология,"Краснодар, ул. Ленина, д. 10, кв. 87",+375991225243,67.6,,,66.6,,,66.0,62.4,65.0,67.8
Фёдорова Ольга Никитична,Ж,2024,очная,Прикладная математика,"Москва, ул. Школьная, д. 185, кв. 11",+375279256612,73.1,,,,,58.5,61.0,66.6,62.03333333333333,65.5
Кузьмина Екатерина Сергеевна,Ж,2024,очная,Информатика и вычислительная техника,"Воронеж, ул. Советская, д. 55, кв. 168",+375993612669,85.1,,58.0,80.9,,69.0,,,69.3,74.2
Иванов Дмитрий Владимирович,М,2024,очная,Физика,"Пермь, ул. Зелёная, д. 174, кв. 138",+375202463051,86.5,,59.4,71.4,,,47.5,,59.43333333333334,67.7
Соколова Виктория Сергеевна,Ж,2024,очная,Физика,"Новосибирск, ул. Пролетарская, д. 60, кв. 19",+375235564610,77.9,66.4,,,69.2,67.6,,,67.73333333333333,70.0
Морозова Ольга Петровна,Ж,2024,очная,Биология,"Москва, ул. Мира, д. 126, кв. 168",+375970195092,87.5,75.9,76.6,,,78.3,,,76.93333333333334,79.9
Иванов Роман Денисович,М,2024,заочная,Физика,"Москва, ул. Зелёная, д. 159, кв. 12",+375673208955,73.9,70.2,,,,58.4,,44.0,57.53333333333333,65.2
Иванов Роман Сергеевич,М,2024,заочная,Экономика,"Екатеринбург, ул. Мира, д. 4, кв. 45",+375805457411,69.2,,69.4,,,,82.6,86.6,79.53333333333333,74.3
Егорова Анна Денисовна,Ж,2024,очно-заочная,История,"Москва, ул. Центральная, д. 25, кв. 117",+375942927604,83.0,62.3,,,85.8,,65.8,,71.3,74.4
Медведева Ольга Сергеевна,Ж,2024,очная,Прикладная математика,"Самара, ул. Мира, д. 152, кв. 17",+375830741028,86.1,62.6,,,,56.7,70.0,,63.1,69.5
Васильева Анна Михайловна,Ж,2024,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Советская, д. 128, кв. 153",+375037797973,86.0,,,50.5,64.5,,,55.3,56.76666666666667,66.1
Баранова Ольга Никитична,Ж,2024,очно-заочная,История,"Самара, ул. Победы, д. 17, кв. 52",+375786187426,73.1,,63.1,,,84.5,,46.8,64.8,66.1
Баранова Виктория Никитична,Ж,2024,очная,Прикладная математика,"Воронеж, ул. Школьная, д. 189, кв. 174",+375128332428,79.5,58.5,63.6,,,,68.3,,63.46666666666666,69.1
Смирнов Сергей Алексеевич,М,2024,очная,Химия,"Воронеж, ул. Школьная, д. 31, кв. 176",+375214505923,83.3,,71.7,,72.2,,,58.6,67.5,72.8
Кузнецов Андрей Владимирович,М,2024,очная,Медицинская биохимия,"Самара, ул. Строителей, д. 36, кв. 83",+375578564839,80.1,,,73.9,,61.5,57.9,,64.43333333333334,68.6
Смирнов Илья Иванович,М,2024,заочная,Биология,"Екатеринбург, ул. Ленина, д. 152, кв. 45",+375540448046,87.0,,,63.6,,50.3,,73.2,62.366666666666674,69.7
Баранова Светлана Алексеевна,Ж,2024,очная,Экономика,"Нижний Новгород, ул. Советская, д. 31, кв. 71",+375556549487,75.9,62.5,,78.3,66.4,,,,69.06666666666668,72.0
Козлов Никита Денисович,М,2024,очная,Физика,"Новосибирск, ул. Новая, д. 44, кв. 179",+375933942764,77.9,66.6,,,59.7,,,59.6,61.96666666666667,67.1
Соловьёва Анна Владимировна,Ж,2024,очно-заочная,Химия,"Нижний Новгород, ул. Строителей, д. 43, кв. 113",+375924294059,79.7,,,,63.2,64.4,58.8,,62.13333333333333,66.5
Соловьёва Светлана Владимировна,Ж,2024,очная,Физика,"Екатеринбург, ул. Пролетарская, д. 11, кв. 35",+375337131092,83.3,52.8,64.5,,,,,59.9,59.06666666666666,69.2
Васильева Елена Михайловна,Ж,2024,очная,История,"Санкт-Петербург, ул. Пролетарская, д. 97, кв. 200",+375756157735,77.1,,49.6,52.0,,75.5,,,59.03333333333333,65.0
Сидоров Никита Денисович,М,2024,очная,Информатика и вычислительная техника,"Новосибирск, ул. Ленина, д. 125, кв. 21",+375487166003,83.9,80.9,,58.0,,64.9,,,67.93333333333334,73.9
Павлова Ольга Михайловна,Ж,2024,очная,Информатика и вычислительная техника,"Москва, ул. Ленина, д. 46, кв. 23",+375436267557,87.9,60.4,71.1,,,,61.1,,64.2,74.0
Лебедев Максим Иванович,М,2024,очно-заочная,Информатика и вычислительная техника,"Самара, ул. Центральная, д. 107, кв. 178",+375765595704,75.2,,,,57.6,,62.6,53.8,58.0,63.6
Егорова Светлана Владимировна,Ж,2024,очная,Экономика,"Краснодар, ул. Мира, д. 53, кв. 37",+375275166474,77.3,,,,,64.8,65.9,48.3,59.666666666666664,67.1
Козлов Андрей Алексеевич,М,2024,очная,Физика,"Казань, ул. Строителей, д. 116, кв. 106",+375083138131,84.1,74.7,57.2,,43.3,,,,58.4,69.1
Кузнецов Никита Михайлович,М,2024,заочная,Химия,"Екатеринбург, ул. Мира, д. 157, кв. 178",+375429184940,89.9,,,,70.4,62.4,,82.2,71.66666666666667,76.7
Соловьёва Ольга Петровна,Ж,2024,заочная,Информатика и вычислительная техника,"Москва, ул. Пролетарская, д. 47, кв. 184",+375560877642,82.1,,,,56.7,79.0,66.1,,67.26666666666667,74.0
Попов Михаил Петрович,М,2024,заочная,Химия,"Краснодар, ул. Пролетарская, д. 23, кв. 161",+375869975472,73.6,,84.3,58.3,,73.2,,,71.93333333333334,71.0
Кузнецов Андрей Иванович,М,2024,очная,Физика,"Казань, ул. Школьная, д. 108, кв. 2",+375612146990,79.5,68.1,53.0,,,,,51.2,57.43333333333334,64.3
Егорова Ирина Ивановна,Ж,2024,очная,Экономика,"Пермь, ул. Победы, д. 50, кв. 31",+375980097558,84.1,,54.4,,,70.9,,55.7,60.333333333333336,69.9
Павлова Мария Сергеевна,Ж,2024,заочная,История,"Пермь, ул. Советская, д. 159, кв. 93",+375373176388,73.4,56.9,,,,60.2,55.6,,57.56666666666666,64.7
Павлова Наталья Никитична,Ж,2024,очно-заочная,Экономика,"Пермь, ул. Строителей, д. 57, кв. 119",+375706468133,71.8,,,,68.8,67.5,64.5,,66.93333333333334,69.4
Соколова Ирина Сергеевна,Ж,2024,очная,Химия,"Екатеринбург, ул. Центральная, д. 14, кв. 50",+375127859116,76.2,,46.9,63.5,,,,60.2,56.866666666666674,62.1
Морозова Ольга Денисовна,Ж,2024,очная,Экономика,"Санкт-Петербург, ул. Мира, д. 176, кв. 122",+375775970802,82.3,,,61.8,,,60.7,65.0,62.5,69.5
Новиков Сергей Сергеевич,М,2024,очная,Экономика,"Краснодар, ул. Мира, д. 41, кв. 172",+375848850965,70.1,48.5,67.0,,,72.1,,,62.53333333333333,65.5
Кузнецов Никита Никитич,М,2024,заочная,История,"Москва, ул. Ленина, д. 166, кв. 94",+375863615513,74.1,77.1,68.7,,,54.3,,,66.7,68.4
