ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении,Поступил
Пахомова Алла Софроновна,Ж,2023,заочная,Физика,"с. Чулым, ул. алл. Строителей, д. 257, кв. 41",+78453986289,88.5,75.0,,46.6,,,82.4,,68.0,73.3,True
Суворов Вячеслав Радиславович,М,2023,очно-заочная,Прикладная математика,"ст. Пышма, ул. алл. Вольная, д. 5, кв. 55",80905911918,83.6,,,47.5,53.6,,82.5,,61.199999999999996,68.8,True
Молчанов Будимир Сидорович,М,2023,заочная,История,"с. Уссурийск, ул. наб. Громова, д. 4/1, кв. 106",82339220715,85.6,,,60.4,,,84.7,67.7,70.93333333333334,77.6,True
Королев Вениамин Фотиевич,М,2023,очно-заочная,Прикладная математика,"с. Углич, ул. алл. Чапаева, д. 4/9, кв. 202",+71696667252,82.3,73.1,,,,66.3,51.6,,63.66666666666666,69.4,True
Кузьмин Трифон Никодимович,М,2023,заочная,Информатика и вычислительная техника,"с. Владикавказ, ул. наб. Вольная, д. 916, кв. 168",+74526471246,71.2,,,,81.9,79.9,,57.6,73.13333333333334,70.8,True
Марков Остромир Радимович,М,2023,заочная,Экономика,"клх Славгород, ул. ул. Кооперативная, д. 80, кв. 207",+73515718409,74.9,,62.0,70.1,,,,84.6,72.23333333333333,74.2,True
Борисов Аким Радованович,М,2023,заочная,Информатика и вычислительная техника,"с. Гудермес, ул. пр. Привокзальный, д. 3/1, кв. 242",+78051208005,80.9,,55.0,68.2,,,,66.0,63.06666666666666,69.7,True
Самсонов Харлампий Егорович,М,2023,заочная,Физика,"к. Уварово, ул. пер. Олега Кошевого, д. 9/1, кв. 143",84099512397,70.7,,73.9,,61.9,64.1,,,66.63333333333334,68.3,False
Тарасова Оксана Ипатиевна,Ж,2023,заочная,Медицинская биохимия,"с. Кырен, ул. пер. Портовый, д. 521, кв. 102",+78351295927,82.3,63.1,,,,,44.8,63.2,57.03333333333334,64.1,False
Шубина Лидия Гремиславовна,Ж,2023,очно-заочная,Медицинская биохимия,"д. Макаров, ул. ш. Щербакова, д. 3/6, кв. 165",+78270908144,76.6,66.6,,,,,59.4,54.0,60.0,64.4,False
Тарасова Варвара Викентиевна,Ж,2023,заочная,Экономика,"ст. Добрянка, ул. бул. Тракторный, д. 5/6, кв. 193",+75298217392,75.8,,,51.8,,45.9,50.9,,49.53333333333333,59.2,True
Калашникова Нонна Митофановна,Ж,2023,очно-заочная,Информатика и вычислительная техника,"п. Калевала, ул. пер. Приозерный, д. 3/5, кв. 3",85786718153,82.3,59.9,,,,,82.1,56.5,66.16666666666667,70.6,True
Назаров Борислав Несторович,М,2023,очная,Медицинская биохимия,"с. Хоста, ул. наб. З.Космодемьянской, д. 712, кв. 180",82373605079,80.7,,,65.0,71.1,66.8,,,67.63333333333333,72.2,True
Костин Сократ Гордеевич,М,2023,очная,Медицинская биохимия,"клх Лянтор, ул. пер. Бажова, д. 896, кв. 173",+78158998868,75.8,,,,56.4,83.7,63.9,,68.0,70.9,False
Хохлова Марина Натановна,Ж,2023,очно-заочная,Физика,"с. Усть-Джегута, ул. алл. Красноярская, д. 4, кв. 154",+74527346666,85.0,,,55.4,,81.8,,47.3,61.5,68.9,True
Комиссарова Алина Даниловна,Ж,2023,заочная,История,"г. Воронеж, ул. пр. Олимпийский, д. 15, кв. 30",+77071587964,71.5,,51.8,,,59.4,67.7,,59.633333333333326,65.6,False
Воронцова Лора Геннадиевна,Ж,2023,очно-заочная,Биология,"ст. Котельнич, ул. пер. Городской, д. 413, кв. 60",84080314998,81.7,62.1,87.4,76.1,,,,,75.2,78.8,True
Беспалов Гремислав Галактионович,М,2023,очная,Физика,"к. Кашира, ул. пр. Маркса Карла, д. 4/5, кв. 137",+75080046358,81.6,,,,74.9,73.6,,63.6,70.7,75.4,True
Комиссаров Денис Антонинович,М,2023,очно-заочная,Химия,"к. Балтийск, ул. ш. Кузнецкое, д. 701, кв. 127",+76882850317,76.1,62.7,67.3,,,56.8,,,62.26666666666667,65.4,True
Тимофеева Наина Леонидовна,Ж,2023,очно-заочная,Химия,"г. Бугульма, ул. наб. Социалистическая, д. 560, кв. 149",+73513739900,80.0,75.5,,,52.4,,64.0,,63.96666666666667,68.0,True
Дмитриев Прокофий Ярославович,М,2023,заочная,Экономика,"ст. Аргаяш, ул. ул. Труда, д. 30, кв. 136",83140352635,70.5,,64.1,,,,61.6,65.7,63.79999999999999,66.1,True
Ковалева Евгения Власовна,Ж,2023,очная,Физика,"ст. Пушкинские Горы, ул. ул. 50 лет ВЛКСМ, д. 119, кв. 64",80229394694,83.5,,,54.1,,66.7,81.4,,67.4,71.7,True
Смирнов Егор Януариевич,М,2023,заочная,Информатика и вычислительная техника,"п. Городовиковск, ул. ш. Путейское, д. 9, кв. 230",+74606664374,76.9,82.1,65.1,,,,,87.6,78.26666666666667,79.7,True
Попов Ипполит Ратмирович,М,2023,заочная,Биология,"к. Усть-Калманка, ул. наб. Прудовая, д. 435, кв. 20",80607231112,74.9,,70.3,,62.5,,72.1,,68.3,69.2,True
Красильников Сергей Сигизмундович,М,2023,очно-заочная,Химия,"г. Сосногорск, ул. пер. Гаражный, д. 2/4, кв. 236",81285246484,84.3,,72.8,59.3,,,,44.1,58.73333333333333,67.6,True
Константинова София Аверкиевна,Ж,2023,очно-заочная,Экономика,"г. Валаам, ул. наб. Мусы Джалиля, д. 217, кв. 53",+79411631873,73.8,,61.9,,68.9,73.5,,,68.10000000000001,69.6,True
Бобылев Ювеналий Семенович,М,2023,очно-заочная,Медицинская биохимия,"ст. Внуково (метеост.), ул. пер. Некрасова, д. 824, кв. 172",+78077113062,69.5,88.9,,55.6,,,63.0,,69.16666666666667,69.8,False
Рябов Изот Харитонович,М,2023,очно-заочная,Экономика,"п. Тотьма, ул. пер. Целинный, д. 2, кв. 31",+71369572790,68.7,,58.2,80.0,,56.7,,,64.96666666666665,64.8,True
Панов Савелий Осипович,М,2023,заочная,Информатика и вычислительная техника,"ст. Тында, ул. пр. Горького, д. 3, кв. 233",83350902542,81.6,,,,,75.1,68.2,64.7,69.33333333333333,73.3,True
Федоров Пров Эмилевич,М,2023,заочная,Прикладная математика,"клх Бугуруслан, ул. ш. Горняцкое, д. 8/9, кв. 95",87306624813,70.3,,,,59.6,54.0,,51.9,55.166666666666664,59.6,False
Иванова Фёкла Иннокентиевна,Ж,2023,очно-заочная,Химия,"с. Магас, ул. ш. Панфилова, д. 29, кв. 62",+73570713984,88.5,64.4,,,,69.5,,64.7,66.2,75.6,True
Матвеева Таисия Якубовна,Ж,2023,очно-заочная,Медицинская биохимия,"г. Тамбов, ул. наб. Заозерная, д. 2/5, кв. 44",82285011688,65.5,80.4,45.0,62.7,,,,,62.70000000000001,61.8,False
Зыкова Тамара Емельяновна,Ж,2023,очная,Физика,"клх Екатеринбург, ул. ул. Тельмана, д. 1, кв. 20",+79255021306,88.2,,,79.1,82.0,,71.2,,77.43333333333334,82.9,True
Герасимов Антип Гедеонович,М,2023,заочная,Медицинская биохимия,"г. Нарткала, ул. алл. Толстого, д. 769, кв. 248",+79069130981,79.3,,,,,73.8,74.5,66.2,71.5,75.6,True
Лапина Анастасия Миленовна,Ж,2023,заочная,Биология,"с. Бомнак, ул. пр. Прудный, д. 6, кв. 43",+77964967379,77.4,,,60.5,84.6,,,74.2,73.10000000000001,73.8,True
Куликова Александра Амосовна,Ж,2023,заочная,Биология,"п. Тайшет, ул. бул. Труда, д. 602, кв. 73",+75772785324,74.7,49.9,,51.1,73.9,,,,58.300000000000004,65.2,False
Дьячкова Ульяна Эрастовна,Ж,2023,очно-заочная,Информатика и вычислительная техника,"клх Бодайбо, ул. бул. Ульянова, д. 9, кв. 135",+76425064207,80.4,,66.7,,,65.5,,59.5,63.9,67.8,True
Суханова Клавдия Бояновна,Ж,2023,очно-заочная,Медицинская биохимия,"с. Охотск, ул. пер. Запорожский, д. 10, кв. 95",88362536667,77.8,78.1,,,71.3,,,73.8,74.39999999999999,77.5,True
Киселева Алла Панкратиевна,Ж,2023,очно-заочная,История,"д. Яр-Сале, ул. бул. 50 лет Октября, д. 8/6, кв. 241",87675556283,84.6,,,60.5,,65.4,57.1,,61.0,69.4,True
Сорокина Дарья Кондратиевна,Ж,2023,очная,Экономика,"п. Норильск, ул. наб. Дарвина, д. 3, кв. 219",+73393957865,78.7,,59.0,,56.8,,63.7,,59.833333333333336,65.6,True
Нестеров Юлиан Чеславович,М,2023,очно-заочная,Экономика,"с. Верхнее Пенжино, ул. пр. Прудовой, д. 7/3, кв. 195",+73627187496,78.9,53.0,,59.3,54.5,,,,55.6,63.2,True
Устинов Филипп Феликсович,М,2023,очная,История,"с. Ноябрьск, ул. ул. Большевистская, д. 1/8, кв. 6",+73358268627,75.8,40.0,75.2,,85.5,,,,66.89999999999999,68.3,True
Меркушева Дарья Ратиборовна,Ж,2023,очно-заочная,История,"г. Магас, ул. ш. Прохладное, д. 730, кв. 131",+73692492693,77.7,,,65.8,64.1,56.9,,,62.26666666666666,69.6,True
Денисова Фаина Анатолиевна,Ж,2024,заочная,Медицинская биохимия,"ст. Ирбит, ул. наб. Дорожная, д. 2/1, кв. 1",+76573275998,80.1,78.4,,84.8,,,62.5,,75.23333333333333,75.1,True
Комиссарова Анна Ладимировна,Ж,2024,очная,Химия,"с. Урай, ул. пер. Привокзальный, д. 2, кв. 125",+71110005155,68.0,,70.9,,,56.0,,72.8,66.56666666666666,67.7,False
Фомин Любомир Натанович,М,2024,очно-заочная,Физика,"д. Диксон, ул. ул. Дорожников, д. 3/4, кв. 129",+72341595977,70.2,,62.3,,56.7,,,61.1,60.03333333333333,63.4,False
Мишин Артем Парфенович,М,2024,очно-заочная,Информатика и вычислительная техника,"г. Нижний Новгород, ул. ш. Алтайское, д. 33, кв. 142",82441822261,82.8,,,,67.6,65.3,,68.6,67.16666666666666,74.4,True
Голубев Ульян Кузьмович,М,2024,заочная,История,"п. Игарка, ул. пер. Поселковый, д. 1, кв. 138",89628874312,79.3,,,,,61.4,56.5,59.2,59.03333333333334,65.1,False
Кузьмин Савва Виталиевич,М,2024,очно-заочная,Биология,"с. Муром, ул. ш. Прудовое, д. 55, кв. 9",81026767209,77.2,,,,57.3,76.1,47.0,,60.133333333333326,66.2,True
Суханова Ирина Степановна,Ж,2024,заочная,Информатика и вычислительная техника,"к. Видное, ул. ул. Флотская, д. 2/4, кв. 96",87992707955,78.4,,,,78.3,79.2,58.2,,71.89999999999999,74.1,True
Назаров Остромир Епифанович,М,2024,очно-заочная,Химия,"клх Гатчина, ул. алл. Белинского, д. 653, кв. 248",+75122946213,80.4,,,40.0,,,68.2,59.3,55.833333333333336,65.2,False
Костин Епифан Арефиевич,М,2024,очная,Информатика и вычислительная техника,"п. Забайкальск, ул. ш. Украинское, д. 264, кв. 164",84159709962,75.1,,,54.3,,64.3,,79.1,65.89999999999999,67.4,True
Дроздова Валентина Стояновна,Ж,2024,очная,Экономика,"с. Усть-Кулом, ул. ул. Металлистов, д. 30, кв. 238",84384807520,73.6,54.4,,52.7,74.7,,,,60.6,63.9,True
Трофимова Анна Эрнестовна,Ж,2024,заочная,История,"ст. Брянск, ул. ул. Чкалова, д. 694, кв. 63",+74476504715,79.5,75.2,64.5,63.4,,,,,67.7,70.7,True
Котова Ия Ювеналиевна,Ж,2024,очно-заочная,Биология,"г. Элиста, ул. наб. Подлесная, д. 844, кв. 143",80290904637,72.4,55.7,88.2,,,70.0,,,71.3,72.6,True
Осипов Лукьян Степанович,М,2024,заочная,Физика,"ст. Сергиев Посад, ул. наб. Раздольная, д. 921, кв. 173",86046558665,80.7,,68.2,,,67.7,72.1,,69.33333333333333,72.1,False
Ефремова Ульяна Миновна,Ж,2024,заочная,Прикладная математика,"г. Орехово-Зуево, ул. алл. Чайковского, д. 9/1, кв. 173",+75483744171,68.1,80.0,,54.5,60.9,,,,65.13333333333334,66.5,False
Горбачева Василиса Феоктистовна,Ж,2024,очно-заочная,Биология,"с. Усть-Ордынский, ул. пер. Пограничный, д. 41, кв. 211",88102131251,84.5,,60.4,,70.9,63.7,,,65.0,70.7,True
Галкин Сергей Сергеевич,М,2024,очная,Биология,"к. Колпашево, ул. ш. Шолохова, д. 955, кв. 83",+79311005912,81.1,,,64.2,73.1,,50.3,,62.53333333333334,70.5,True
Константинова Полина Дмитриевна,Ж,2024,очная,Химия,"с. Объячево, ул. пер. Фрунзе, д. 384, кв. 148",87519102312,79.8,61.8,,,,73.6,72.3,,69.23333333333333,74.7,True
Жукова Эмилия Корниловна,Ж,2024,заочная,Информатика и вычислительная техника,"ст. Пятигорск, ул. пер. Парижской Коммуны, д. 345, кв. 134",+71063301658,84.2,,57.9,85.6,50.2,,,,64.56666666666666,71.5,True
Смирнова Евдокия Викториновна,Ж,2024,заочная,Биология,"г. Октябрьское (Хант.), ул. ул. Сосновая, д. 6/7, кв. 118",+77379274907,88.3,,65.7,,,66.8,59.7,,64.06666666666666,72.0,True
Абрамова Алевтина Ярославовна,Ж,2024,заочная,Медицинская биохимия,"п. Семлячики, ул. ш. Абрикосовое, д. 8, кв. 229",+78012342893,84.4,71.1,41.5,,,,,80.7,64.43333333333334,70.4,True
Зиновьева Варвара Емельяновна,Ж,2024,очная,История,"г. Петрозаводск, ул. наб. Средняя, д. 7/2, кв. 238",+71325326949,67.3,,,40.0,,53.9,,66.6,53.5,56.5,False
Аксенов Яков Остромирович,М,2024,очная,Физика,"с. Уфа, ул. ул. Горького, д. 425, кв. 163",88436453804,70.6,,,80.4,50.1,,,57.4,62.63333333333333,64.5,False
Миронов Аникита Милиевич,М,2024,очная,Физика,"д. Лазаревское, ул. алл. Серафимовича, д. 3/7, кв. 76",+72101750961,74.6,,85.7,,47.7,60.4,,,64.60000000000001,68.7,False
Константинова Тамара Еремеевна,Ж,2024,заочная,Биология,"к. Сибай, ул. ш. ДОС, д. 15, кв. 137",80159591945,78.5,,,82.6,,,54.1,75.7,70.8,73.6,True
Кабанова Агафья Егоровна,Ж,2024,заочная,История,"клх Йошкар-Ола, ул. алл. Малая, д. 3, кв. 55",85757475833,81.4,54.1,,,60.4,,84.7,,66.39999999999999,73.4,True
Сидорова Ия Артемовна,Ж,2024,очная,История,"д. Адлер, ул. ш. Речное, д. 2, кв. 117",82056775677,73.9,,,80.3,70.2,56.3,,,68.93333333333334,70.3,True
Петухова Ксения Сильвестровна,Ж,2024,заочная,Информатика и вычислительная техника,"к. Вытегра, ул. бул. Тургенева, д. 4, кв. 242",82266025626,79.4,,72.9,,67.9,,,60.9,67.23333333333333,72.3,True
Маркова Таисия Аверьяновна,Ж,2024,очная,История,"д. Всеволожск, ул. наб. Титова, д. 8, кв. 73",80622923106,73.8,,75.0,,,,84.8,51.4,70.4,71.5,True
Зимин Викентий Марианович,М,2024,очная,Физика,"с. Ивдель, ул. ш. ДОС, д. 1/3, кв. 72",82453076248,74.6,65.0,,,70.4,,,78.1,71.16666666666667,72.4,False
Афанасьева Лукия Филаретовна,Ж,2024,очная,Биология,"к. Семлячики, ул. ул. Волочаевская, д. 33, кв. 159",+73379766270,69.9,80.1,,,64.5,,50.0,,64.86666666666666,65.7,True
Кондратьев Яков Алексеевич,М,2024,очно-заочная,Экономика,"клх Шатура, ул. наб. Гайдара, д. 23, кв. 83",81157942387,72.8,,,59.4,,49.7,,64.7,57.93333333333334,63.0,True
Григорьева Дарья Максимильяновна,Ж,2024,очно-заочная,Химия,"д. Оса, ул. алл. Шоссейная, д. 1, кв. 234",+76704254969,70.2,44.6,,66.4,,88.1,,,66.36666666666666,67.6,False
Стрелкова Лукия Самуиловна,Ж,2024,заочная,Физика,"д. Салават, ул. пр. Воронежский, д. 272, кв. 125",+79284552597,72.4,63.7,72.8,,60.4,,,,65.63333333333334,68.8,False
Лаврентьева Олимпиада Анатолиевна,Ж,2024,очно-заочная,Экономика,"п. Шатура, ул. алл. Украинская, д. 741, кв. 119",+70756335357,84.6,50.6,72.3,,,,56.3,,59.73333333333333,70.2,True
Трофимов Всемил Германович,М,2024,очная,Информатика и вычислительная техника,"г. Новороссийск, ул. бул. Слободской, д. 76, кв. 155",+78595325939,72.6,,,73.4,44.8,,80.5,,66.23333333333333,67.8,True
Рожкова Оксана Терентиевна,Ж,2024,заочная,Прикладная математика,"с. Адыгейск, ул. пр. Черноморский, д. 15, кв. 249",83379705816,94.1,79.8,64.4,,,,,70.9,71.7,77.7,True
Суворов Марк Остромирович,М,2024,очная,Информатика и вычислительная техника,"г. Киров (Вятка), ул. пер. Депутатский, д. 648, кв. 2",+79518779417,81.3,,72.5,,70.9,,,60.7,68.03333333333335,72.7,True
Щукина Анастасия Спиридоновна,Ж,2024,очная,Биология,"п. Балтийск, ул. пр. Кубанский, д. 419, кв. 165",83425073305,79.4,,,,65.6,,65.7,83.1,71.46666666666667,74.4,True
Воронцова Клавдия Луковна,Ж,2024,заочная,Биология,"п. Одинцово, ул. пер. Космический, д. 8/2, кв. 155",89782457598,73.1,57.4,,,55.1,73.1,,,61.86666666666667,64.5,False
Беляков Федор Адамович,М,2024,очная,Информатика и вычислительная техника,"г. Беслан, ул. бул. Рабочий, д. 69, кв. 111",+73991403884,82.5,,55.6,,,,61.1,57.3,58.0,67.6,True
Игнатьев Емельян Максимильянович,М,2024,очно-заочная,Экономика,"с. Домбай, ул. алл. 50 лет Октября, д. 5/8, кв. 17",+76604432400,74.8,,,84.2,87.9,,,77.6,83.23333333333333,82.2,True
Голубева Людмила Геннадиевна,Ж,2024,заочная,Информатика и вычислительная техника,"к. Шатура, ул. наб. Центральная, д. 3/4, кв. 1",81572768297,79.0,,,62.4,53.2,,,52.2,55.93333333333334,65.8,True
Одинцова Ирина Амвросиевна,Ж,2024,очно-заочная,История,"ст. Нефедова, ул. бул. Тамбовский, д. 23, кв. 247",81474397429,93.7,56.8,59.5,,,,79.7,,65.33333333333333,74.1,True
Мельникова Лукия Ярославовна,Ж,2024,очно-заочная,Биология,"клх Ямбург, ул. пр. Вавилова, д. 745, кв. 75",+75010587525,77.7,71.2,62.0,,,,80.7,,71.3,75.0,True
Одинцов Творимир Григориевич,М,2024,заочная,Физика,"клх Луховицы, ул. ш. Владимирское, д. 1/2, кв. 158",88065625904,85.2,76.0,90.6,,,50.1,,,72.23333333333333,77.6,True
Кошелев Филимон Никитович,М,2024,очная,История,"ст. Новая Игирма, ул. алл. Крайняя, д. 777, кв. 249",89908027112,74.1,,78.5,,78.9,59.0,,,72.13333333333334,72.6,True
Кириллова Евгения Викторовна,Ж,2024,очно-заочная,Физика,"клх Ростов-на-Дону, ул. наб. Майская, д. 3, кв. 169",+71823155516,78.1,,,,63.2,68.0,,58.6,63.26666666666666,68.6,False
Крюков Леон Лукович,М,2024,очно-заочная,История,"клх Пышма, ул. ул. Кедровая, д. 992, кв. 23",81768086628,88.9,87.6,,,67.7,,,55.7,70.33333333333333,78.2,True
Дорофеева Александра Остромировна,Ж,2024,очно-заочная,Информатика и вычислительная техника,"с. Усолье Сибирское, ул. ул. Плеханова, д. 390, кв. 34",+73721433080,74.5,53.3,,62.6,76.2,,,,64.03333333333335,67.6,True
Чернова Анна Изотовна,Ж,2024,заочная,Информатика и вычислительная техника,"г. Гагарин, ул. пр. Дружба, д. 1/7, кв. 162",+73700332285,89.2,,,51.0,,,76.1,61.4,62.833333333333336,71.6,True
Савельева Маргарита Ладиславовна,Ж,2024,очная,Физика,"клх Ростов, ул. алл. Щорса, д. 32, кв. 51",86608470681,82.5,,,64.1,,70.0,,68.5,67.53333333333333,72.7,True
Назаров Ермолай Ладиславович,М,2024,очная,Физика,"г. Улан-Удэ, ул. наб. Прудовая, д. 926, кв. 185",+73903397051,74.9,,,,71.0,72.4,76.8,,73.39999999999999,74.2,True
Макаров Демид Мстиславович,М,2024,заочная,Прикладная математика,"клх Тобольск, ул. наб. Зои Космодемьянской, д. 27, кв. 22",85826328094,82.1,,56.0,64.0,73.3,,,,64.43333333333334,69.4,True
Гуляев Андрей Егорович,М,2024,заочная,История,"ст. Екатеринбург, ул. пер. Труда, д. 10, кв. 8",+78586239453,84.1,,,77.1,,,53.3,67.6,65.99999999999999,73.9,True
Зуев Вадим Сильвестрович,М,2024,очная,Прикладная математика,"с. Нарым, ул. ш. Высоковольтное, д. 23, кв. 54",84614707986,82.0,47.2,,,,61.4,,89.3,65.96666666666665,72.3,True
Лаврентьева Алевтина Святополковна,Ж,2024,заочная,История,"к. Сальск, ул. наб. Р.Люксембург, д. 7/4, кв. 33",+72106133943,68.9,,57.8,,,75.7,56.2,,63.23333333333333,65.7,False
Степанов Сидор Евграфович,М,2024,заочная,Медицинская биохимия,"ст. Тюмень, ул. бул. Отрадный, д. 478, кв. 206",84570394380,73.9,,66.6,,,58.5,54.7,,59.93333333333334,63.2,True
Стрелкова Лукия Святополковна,Ж,2024,заочная,Прикладная математика,"с. Неплюевка, ул. пер. Мостовой, д. 4, кв. 236",+70325376576,76.8,73.1,63.2,56.7,,,,,64.33333333333333,69.1,True
Никифоров Станислав Макарович,М,2024,очная,История,"г. Витим, ул. ул. Прохладная, д. 365, кв. 180",82778943191,77.9,,70.5,,,61.6,68.9,,67.0,69.3,False
Комиссаров Гаврила Валерьянович,М,2024,очная,Химия,"с. Лянтор, ул. алл. Автомобилистов, д. 4/6, кв. 17",+70900404769,82.0,,,,71.0,67.0,68.1,,68.7,71.7,True
Ларионов Софрон Власович,М,2024,очно-заочная,История,"с. Ишим, ул. наб. Куйбышева, д. 4, кв. 247",+71053365146,79.4,50.8,,,60.5,62.1,,,57.800000000000004,65.5,False
Владимирова Евфросиния Анатолиевна,Ж,2024,очная,Физика,"с. Норильск, ул. бул. Ветеранов, д. 7, кв. 158",+74014247310,70.3,,,61.2,,56.5,,59.0,58.9,62.5,False
Колесников Родион Станимирович,М,2024,очная,Физика,"с. Крымск, ул. пер. Гончарова, д. 7, кв. 41",82011379844,80.6,,,,64.2,72.0,69.7,,68.63333333333333,73.2,True
Иванов Виктор Леонтиевич,М,2024,очно-заочная,Медицинская биохимия,"к. Чебоксары, ул. наб. Нахимова, д. 704, кв. 161",+79712316600,82.0,,68.1,69.1,,59.3,,,65.5,69.6,True
Зимина Алина Чеславовна,Ж,2024,очно-заочная,Экономика,"к. Адыгейск, ул. пр. Карьерный, д. 6/7, кв. 137",86762090144,81.7,,66.4,,,69.8,,57.0,64.39999999999999,70.2,True
Миронова Анна Руслановна,Ж,2024,очная,История,"ст. Выборг, ул. алл. Трактовая, д. 3/8, кв. 225",83404337009,84.8,,,42.6,,63.8,71.1,,59.166666666666664,66.8,False
Орлова Алина Спиридоновна,Ж,2024,заочная,Физика,"клх Сызрань, ул. алл. Камская, д. 1, кв. 158",88730451957,83.3,83.8,,65.4,70.2,,,,73.13333333333333,78.6,True
Лебедева Ксения Флорентиновна,Ж,2024,очно-заочная,История,"д. Кашира, ул. наб. Угольная, д. 31, кв. 148",88255882556,81.1,71.0,59.7,,,,,65.3,65.33333333333333,71.1,True
Кабанова Ксения Епифановна,Ж,2024,очная,Биология,"к. Сальск, ул. ш. Попова, д. 422, кв. 75",+79657542786,77.9,82.3,69.6,,,,50.4,,67.43333333333332,71.8,True
Медведева Лидия Евдокимовна,Ж,2024,очная,Физика,"с. Усть-Джегута, ул. ш. Лесное, д. 6, кв. 249",86194255778,68.3,,73.5,,,,64.7,68.0,68.73333333333333,67.9,False
Егоров Конон Твердиславович,М,2024,очно-заочная,Медицинская биохимия,"клх Хасавюрт, ул. пр. Болотный, д. 2, кв. 222",+70582958292,80.9,,,,,73.3,50.9,73.1,65.76666666666667,69.4,True
Мамонтова Лариса Потаповна,Ж,2024,заочная,Химия,"клх Беломорск, ул. пр. Железнодорожный, д. 93, кв. 35",+76161880819,79.5,61.5,,,64.2,75.1,,,66.93333333333334,73.2,True
Дорофеев Викторин Геннадиевич,М,2024,заочная,Химия,"к. Семлячики, ул. пер. Средний, д. 83, кв. 166",+74823571558,79.9,,78.3,,,,61.0,67.4,68.9,71.9,True
Егорова Галина Викентиевна,Ж,2024,очная,Физика,"клх Белый Яр (Томск.), ул. пер. Просторный, д. 2, кв. 184",88639561372,70.6,,63.6,,,,56.4,58.6,59.53333333333333,63.1,False
Кондратьев Агафон Януариевич,М,2024,очно-заочная,Физика,"с. Петропавловск-Камчатский, ул. ш. 9 Января, д. 763, кв. 162",+70817214364,71.8,69.8,80.9,,67.2,,,,72.63333333333333,72.9,True
Копылов Федот Варфоломеевич,М,2024,очно-заочная,Информатика и вычислительная техника,"клх Дивногорск, ул. ш. Кузнецова, д. 20, кв. 18",+78130004132,84.6,,,,53.0,94.1,,65.0,70.7,73.7,True
Потапов Елисей Милиевич,М,2024,очно-заочная,Медицинская биохимия,"ст. Екатеринбург, ул. ул. Клубная, д. 9, кв. 236",+71471656094,78.1,,63.6,76.5,68.5,,,,69.53333333333333,73.8,True
Филиппова Таисия Касьяновна,Ж,2024,заочная,Информатика и вычислительная техника,"п. Осташков, ул. ш. Прудное, д. 43, кв. 109",86534699799,82.4,,,,77.5,,78.0,77.5,77.66666666666667,79.5,True
Фокина Вероника Кондратиевна,Ж,2024,заочная,Физика,"клх Чебаркуль, ул. пр. Солнечный, д. 78, кв. 128",+77075504768,78.5,,60.7,,63.5,75.2,,,66.46666666666667,69.8,False
Николаева Ульяна Даниловна,Ж,2024,заочная,История,"клх Каргасок, ул. пр. Октябрьский, д. 5, кв. 156",+76995706071,78.5,,,64.4,67.3,78.3,,,70.0,71.2,True
Никифорова Анжела Юлиевна,Ж,2024,очно-заочная,Биология,"с. Шатой, ул. алл. Железнодорожная, д. 7, кв. 72",84811317653,83.9,,79.3,,82.1,,,54.3,71.89999999999999,74.7,True
Потапов Мартьян Проклович,М,2024,очная,Прикладная математика,"г. Калач, ул. алл. Лесхозная, д. 2, кв. 233",87054873961,75.2,,,,59.9,58.3,64.9,,61.03333333333333,67.6,False
Титова Алла Алексеевна,Ж,2024,заочная,Экономика,"к. Белогорск (Амур.), ул. ш. Советское, д. 515, кв. 101",+72908718274,78.9,56.4,66.6,,,,77.1,,66.7,71.7,True
Лихачева Олимпиада Антиповна,Ж,2024,очно-заочная,Физика,"с. Нефтегорск (Самар.), ул. ш. Таежное, д. 938, кв. 148",86804918727,75.5,51.2,67.8,,,51.5,,,56.833333333333336,62.4,False
Блинова Валентина Аполлинариевна,Ж,2024,очно-заочная,История,"к. Краснотурьинск, ул. бул. Профсоюзный, д. 540, кв. 62",+72049561213,75.7,,,,64.7,72.5,,43.0,60.06666666666666,63.8,False
Котов Боян Никифорович,М,2024,очная,Прикладная математика,"к. Плес, ул. пр. 50 лет Октября, д. 435, кв. 134",87306260423,76.4,,65.3,99.9,90.0,,,,85.06666666666666,82.8,True
Крюкова Дарья Эдуардовна,Ж,2024,очная,Биология,"к. Тольятти, ул. бул. Тамбовский, д. 5/8, кв. 82",89737112229,79.6,68.7,,,,,65.0,75.4,69.7,73.5,True
Евдокимова Феврония Прокофиевна,Ж,2024,очно-заочная,История,"д. Белогорск (Амур.), ул. алл. Западная, д. 916, кв. 239",80775608581,75.4,,47.3,,78.9,47.1,,,57.76666666666667,63.6,False
Ефимова Эмилия Леонтиевна,Ж,2024,очная,История,"с. Лесной (Сверд.), ул. пр. Рябиновый, д. 8/9, кв. 68",87046861114,85.8,,54.8,65.6,,,,69.9,63.43333333333334,70.7,True
Зыкова Лора Евстафиевна,Ж,2024,заочная,Физика,"г. Шилка, ул. ул. Поселковая, д. 2/7, кв. 230",87683210219,72.9,,,47.0,,,72.6,56.7,58.76666666666667,62.6,False
